timestamp,proposal,variant,dataset,collection,auc_pr,auc_roc,rw1_auc_pr,delta_pr,epochs,warmup,lam,tau,k,conf_mode,mc_samples,tau_u,extra,corr_anom_over_norm,corr_overlap,corr_anomaly_coverage,gate_auc_vs_label,window,batch,l1_weight
2026-07-14T12:49:13,5,h5,msl_id8,MSL,0.0301,0.8534,,,200,10,1.5,2.0,1.0,,,,,0.831,0.007,0.0476,0.9092,50,256,1.0
2026-07-14T12:49:14,5,h5,msl_id8,MSL,0.0165,0.7431,,,200,10,1.0,2.0,1.0,,,,,0.7892,0.007,0.0476,0.9284,50,256,1.0
2026-07-14T12:49:14,5,h5,msl_id8,MSL,0.0239,0.5482,,,200,10,1.0,2.0,1.0,,,,,0.9686,0.049,0.3333,0.9589,50,256,0.1
2026-07-14T12:49:14,5,h5,msl_id8,MSL,0.006,0.3747,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,0.7827,0.007,0.0476,0.9145,50,256,1.0
2026-07-14T12:50:34,5,h5,msl_id8,MSL,0.3625,0.9909,,,200,10,1.0,2.0,1.0,,,,,2.3833,0.1399,0.9524,0.967,50,256,0.01
2026-07-14T12:50:34,5,h5,msl_id8,MSL,0.0125,0.4841,,,200,10,1.5,2.0,1.0,,,,,0.8731,0.021,0.1429,0.9534,50,256,0.1
2026-07-14T12:50:35,5,h5,msl_id8,MSL,0.4639,0.996,,,200,10,1.5,2.0,1.0,,,,,2.6274,0.1469,1.0,0.9717,50,256,0.01
2026-07-14T12:52:13,5,h5,msl_id8,MSL,0.0126,0.4126,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,0.8409,0.028,0.1905,0.9724,50,256,0.1
2026-07-14T12:52:31,5,h5,opportunity_id3,OPPORTUNITY,0.0169,0.6854,,,200,10,1.5,2.0,1.0,,,,,1.0565,0.0057,0.0242,0.679,50,256,1.0
2026-07-14T12:52:32,5,h5,opportunity_id3,OPPORTUNITY,0.0169,0.6861,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,1.0567,0.0057,0.0242,0.686,50,256,1.0
2026-07-14T12:52:33,5,h5,opportunity_id3,OPPORTUNITY,0.0171,0.6893,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,1.0572,0.0057,0.0242,0.699,50,256,0.1
2026-07-14T12:52:33,5,h5,opportunity_id3,OPPORTUNITY,0.0171,0.6883,,,200,10,1.5,2.0,1.0,,,,,1.057,0.0057,0.0242,0.6908,50,256,0.1
2026-07-14T12:52:35,5,h5,opportunity_id3,OPPORTUNITY,0.0172,0.69,,,200,10,1.0,2.0,1.0,,,,,1.0574,0.0057,0.0242,0.6934,50,256,0.1
2026-07-14T12:52:35,5,h5,opportunity_id3,OPPORTUNITY,0.0169,0.6857,,,200,10,1.0,2.0,1.0,,,,,1.0566,0.0057,0.0242,0.6892,50,256,1.0
2026-07-14T12:52:36,5,h5,opportunity_id3,OPPORTUNITY,0.0222,0.7597,,,200,10,1.0,2.0,1.0,,,,,1.0694,0.0064,0.0273,0.6947,50,256,0.01
2026-07-14T12:52:38,5,h5,opportunity_id3,OPPORTUNITY,0.0114,0.4953,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,0.9965,0.0121,0.0515,0.6942,50,256,0.001
2026-07-14T12:52:39,5,h5,opportunity_id3,OPPORTUNITY,0.0111,0.4966,,,200,10,1.0,2.0,1.0,,,,,0.9968,0.0093,0.0394,0.6781,50,256,0.001
2026-07-14T12:52:41,5,h5,opportunity_id3,OPPORTUNITY,0.0211,0.7484,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,1.066,0.0057,0.0242,0.6923,50,256,0.01
2026-07-14T12:52:41,5,h5,opportunity_id3,OPPORTUNITY,0.0138,0.5833,,,200,10,1.5,2.0,1.0,,,,,1.0104,0.015,0.0636,0.6712,50,256,0.001
2026-07-14T12:52:41,5,h5,opportunity_id3,OPPORTUNITY,0.0235,0.7745,,,200,10,1.5,2.0,1.0,,,,,1.0735,0.0071,0.0303,0.6806,50,256,0.01
2026-07-14T12:54:34,5,h5,msl_id8,MSL,0.4321,0.9956,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,2.3947,0.1469,1.0,0.9725,50,256,0.01
2026-07-14T12:54:35,5,h5,msl_id8,MSL,0.0146,0.5992,,,200,10,1.0,2.0,1.0,,,,,1.0283,0.028,0.1905,0.9844,50,256,0.001
2026-07-14T12:54:35,5,h5,msl_id8,MSL,0.032,0.5018,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,0.9395,0.0559,0.381,0.991,50,256,0.001
2026-07-14T12:56:24,5,h5,opportunity_id6,OPPORTUNITY,0.0258,0.6169,,,200,10,1.5,2.0,1.0,,,,,1.037,0.0121,0.0282,0.7582,50,256,0.1
2026-07-14T12:56:26,5,h5,opportunity_id6,OPPORTUNITY,0.0259,0.6175,,,200,10,1.5,2.0,1.0,,,,,1.0375,0.0121,0.0282,0.7557,50,256,1.0
2026-07-14T12:56:26,5,h5,opportunity_id6,OPPORTUNITY,0.0266,0.6329,,,200,10,1.5,2.0,1.0,,,,,1.0372,0.0133,0.031,0.7466,50,256,0.01
2026-07-14T12:56:26,5,h5,opportunity_id6,OPPORTUNITY,0.0258,0.6168,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,1.0369,0.0133,0.031,0.7503,50,256,0.1
2026-07-14T12:56:26,5,h5,opportunity_id6,OPPORTUNITY,0.0262,0.6261,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,1.0356,0.0121,0.0282,0.7487,50,256,0.01
2026-07-14T12:56:27,5,h5,opportunity_id6,OPPORTUNITY,0.0213,0.5282,,,200,10,1.0,2.0,1.0,,,,,1.006,0.0121,0.0282,0.7461,50,256,0.001
2026-07-14T12:56:28,5,h5,opportunity_id6,OPPORTUNITY,0.0259,0.6177,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,1.0375,0.0133,0.031,0.7524,50,256,1.0
2026-07-14T12:56:28,5,h5,opportunity_id6,OPPORTUNITY,0.0265,0.6311,,,200,10,1.0,2.0,1.0,,,,,1.0363,0.0097,0.0225,0.7513,50,256,0.01
2026-07-14T12:56:29,5,h5,opportunity_id6,OPPORTUNITY,0.0259,0.6177,,,200,10,1.0,2.0,1.0,,,,,1.0375,0.0121,0.0282,0.7525,50,256,1.0
2026-07-14T12:56:55,5,h5,msl_id8,MSL,0.011,0.5888,,,200,10,1.5,2.0,1.0,,,,,1.0216,0.007,0.0476,0.9858,50,256,0.001
2026-07-14T12:58:35,5,h5,msl_id9,MSL,0.0312,0.5183,,,200,10,1.0,2.0,1.0,,,,,0.8313,0.027,0.0435,0.449,50,256,1.0
2026-07-14T12:58:35,5,h5,msl_id9,MSL,0.0316,0.5186,,,200,10,1.0,2.0,1.0,,,,,0.8474,0.009,0.0145,0.4439,50,256,0.1
2026-07-14T12:58:35,5,h5,msl_id9,MSL,0.0263,0.4299,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,0.9251,0.027,0.0435,0.4634,50,256,0.01
2026-07-14T12:58:35,5,h5,msl_id9,MSL,0.0367,0.5754,,,200,10,1.5,2.0,1.0,,,,,0.8391,0.009,0.0145,0.4529,50,256,1.0
2026-07-14T12:58:35,5,h5,msl_id9,MSL,0.0385,0.59,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,0.8374,0.045,0.0725,0.447,50,256,1.0
2026-07-14T12:58:35,5,h5,msl_id9,MSL,0.0289,0.4535,,,200,10,1.5,2.0,1.0,,,,,0.9604,0.027,0.0435,0.3831,50,256,0.001
2026-07-14T12:58:35,5,h5,msl_id9,MSL,0.0277,0.4454,,,200,10,1.0,2.0,1.0,,,,,0.9709,0.027,0.0435,0.4218,50,256,0.001
2026-07-14T12:58:36,5,h5,msl_id9,MSL,0.0298,0.4651,,,200,10,1.0,2.0,1.0,,,,lam_mode=auto_tr,0.964,0.018,0.029,0.4657,50,256,0.001
